URL,IMDB_ID,BETASERIES_ID,THEMOVIEDB_ID,METACRITIC_ID,ROTTEN_TOMATOES_ID,IS_ACTIVE
/film/fichefilm_gen_cfilm=145.html,tt0038417,59606-cloak-and-dagger,44043,null,1004369-cloak_and_dagger,FALSE
/film/fichefilm_gen_cfilm=147.html,tt0074291,21405-il-casanova-di-federico-fellini,42236,null,null,FALSE
/film/fichefilm_gen_cfilm=148.html,tt0135834,73852-cerf-volant-du-bout-du-monde,430735,null,null,FALSE
/film/fichefilm_gen_cfilm=149.html,tt0084058,19007-heat-and-dust,67794,null,heat_and_dust,FALSE
/film/fichefilm_gen_cfilm=150.html,tt0082158,9861-chariots-of-fire,9443,chariots-of-fire,chariots_of_fire,FALSE
/film/fichefilm_gen_cfilm=151.html,tt0067800,2725-straw-dogs,994,straw-dogs-1971,straw_dogs,FALSE
/film/fichefilm_gen_cfilm=152.html,tt0041699,9214-stray-dog,30368,null,1020312-stray_dog,FALSE
/film/fichefilm_gen_cfilm=154.html,tt0076857,24177-une-sale-histoire,117488,null,null,FALSE
/film/fichefilm_gen_cfilm=157.html,tt0066122,1562-deep-end,59408,deep-end,10008466-deep_end,FALSE
/film/fichefilm_gen_cfilm=159.html,tt0087089,11901-the-cotton-club,2148,the-cotton-club,cotton_club,FALSE
/film/fichefilm_gen_cfilm=160.html,tt0074360,3338-cria-cuervos,51857,null,raise_ravens,FALSE
/film/fichefilm_gen_cfilm=161.html,tt0044518,21447-crin-blanc-le-cheval-sauvage,15382,null,770679736,FALSE
/film/fichefilm_gen_cfilm=162.html,tt0049007,32777-bhowani-junction,81699,null,bhowani_junction,FALSE
/film/fichefilm_gen_cfilm=163.html,tt0060268,4571-cul-de-sac,4772,null,culdesac,FALSE
/film/fichefilm_gen_cfilm=164.html,tt0087553,3102-the-killing-fields,625,null,killing_fields,FALSE
/film/fichefilm_gen_cfilm=165.html,tt0053765,91987-devi,43031,null,770672457,FALSE
/film/fichefilm_gen_cfilm=166.html,tt0068473,3268-deliverance,10669,deliverance,deliverance,FALSE
/film/fichefilm_gen_cfilm=167.html,tt0089461,28641-the-last-dragon,13938,null,the_last_dragon,FALSE
/film/fichefilm_gen_cfilm=168.html,tt0085426,12806-le-dernier-combat,19184,null,le_dernier_combat,FALSE
/film/fichefilm_gen_cfilm=169.html,tt0080610,3133-le-dernier-metro,1716,null,the_last_metro,FALSE
/film/fichefilm_gen_cfilm=170.html,tt0070849,4344-ultimo-tango-a-parigi,1643,last-tango-in-paris,last_tango_in_paris,FALSE
/film/fichefilm_gen_cfilm=171.html,tt0071411,3280-dersu-uzala,9764,null,dersu_uzala,FALSE
/film/fichefilm_gen_cfilm=172.html,tt0060574,66254-der-junge-torless,45694,null,young_torless_1966,FALSE
/film/fichefilm_gen_cfilm=173.html,tt0089066,60213-detective,52710,null,detective_1995,FALSE
/film/fichefilm_gen_cfilm=174.html,tt0087144,3139-la-diagonale-du-fou,46088,null,dangerous_moves,FALSE
/film/fichefilm_gen_cfilm=176.html,tt0087182,3698-dune,841,dune,1006364-dune,FALSE
/film/fichefilm_gen_cfilm=178.html,tt0064276,4113-easy-rider,624,easy-rider,easy_rider,FALSE
/film/fichefilm_gen_cfilm=179.html,tt0087280,8172-forbrydelsens-element,9063,null,element_of_crime,FALSE
/film/fichefilm_gen_cfilm=180.html,tt0080678,263-the-elephant-man,1955,null,1006527-elephant_man,TRUE
/film/fichefilm_gen_cfilm=181.html,tt0087205,22797-les-enfants,86096,null,771106530,FALSE
/film/fichefilm_gen_cfilm=182.html,tt0037674,43-les-enfants-du-paradis,2457,children-of-paradise,children_of_paradise,FALSE
/film/fichefilm_gen_cfilm=183.html,tt0074486,3392-eraserhead,985,eraserhead,eraserhead,FALSE
/film/fichefilm_gen_cfilm=184.html,tt0085501,104843-erendira,133750,null,erendira,FALSE
/film/fichefilm_gen_cfilm=185.html,tt0049189,10070-et-dieu-crea-la-femme,8420,null,and_god_created_woman,FALSE
/film/fichefilm_gen_cfilm=187.html,tt0087188,3117-e-la-nave-va,5622,null,and_the_ship_sails_on,FALSE
/film/fichefilm_gen_cfilm=188.html,tt0083907,3221-the-evil-dead,764,the-evil-dead-1983,the-evil-dead,FALSE
/film/fichefilm_gen_cfilm=191.html,tt0130675,2535-exterieur-nuit,78448,null,exterior-night,FALSE
/film/fichefilm_gen_cfilm=193.html,tt0026276,7009-the-devil-is-a-woman,42943,null,the_devil_is_a_woman,FALSE
/film/fichefilm_gen_cfilm=194.html,tt0050306,22407-designing-woman,33668,null,designing_woman,FALSE
/film/fichefilm_gen_cfilm=196.html,tt0043503,2778-the-enforcer,26712,null,1006648-enforcer,FALSE
/film/fichefilm_gen_cfilm=198.html,tt0055471,6488-splendor-in-the-grass,28569,null,splendor_in_the_grass,FALSE
/film/fichefilm_gen_cfilm=201.html,tt0068931,10661-the-mechanic,19403,the-mechanic-1969,1013632-mechanic,FALSE
/film/fichefilm_gen_cfilm=202.html,tt0073822,18094-trollflojten,44864,null,1013035-magic_flute,FALSE
/film/fichefilm_gen_cfilm=203.html,tt0089087,7012-the-emerald-forest,11532,null,the_emerald_forest,FALSE
/film/fichefilm_gen_cfilm=204.html,tt0085933,8896-merry-christmas-mr-lawrence,11948,null,merry_christmas_mr_lawrence,FALSE
/film/fichefilm_gen_cfilm=206.html,tt0087365,8933-greystoke-the-legend-of-tarzan-lord-of-the-apes,11002,null,greystoke_the_legend_of_tarzan_lord_of_the_apes,FALSE
/film/fichefilm_gen_cfilm=208.html,tt0079261,3404-hair,10654,hair,hair,FALSE
/film/fichefilm_gen_cfilm=209.html,tt0032145,8081-wuthering-heights,3084,null,1024192-wuthering_heights,FALSE
/film/fichefilm_gen_cfilm=210.html,tt0033704,16816-hellzapoppin,19136,null,hellzapoppin,FALSE
/film/fichefilm_gen_cfilm=213.html,tt0074851,8897-the-man-who-fell-to-earth,991,the-man-who-fell-to-earth,man_who_fell_to_earth,FALSE
/film/fichefilm_gen_cfilm=215.html,tt0073166,12154-india-song,85927,null,1216934-india_song,FALSE
/film/fichefilm_gen_cfilm=217.html,tt0068762,3293-jeremiah-johnson,11943,null,jeremiah_johnson,FALSE
/film/fichefilm_gen_cfilm=220.html,tt0067277,3242-johnny-got-his-gun,16328,johnny-got-his-gun,johnny_got_his_gun,FALSE
/film/fichefilm_gen_cfilm=221.html,tt0076696,63869-the-chess-players,80556,null,the_chess_players,FALSE
/film/fichefilm_gen_cfilm=222.html,tt0055032,981-jules-et-jim,1628,jules-and-jim,jules_and_jim,FALSE
/film/fichefilm_gen_cfilm=223.html,tt0087537,24273-kaos,38164,null,kaos,FALSE
/film/fichefilm_gen_cfilm=224.html,tt0068278,3335-die-bitteren-tranen-der-petra-von-kant,10310,null,bitter_tears_of_petra_von_kant,FALSE
/film/fichefilm_gen_cfilm=225.html,tt0085859,22584-local-hero,11235,null,local_hero,FALSE
/film/fichefilm_gen_cfilm=226.html,tt0056193,3695-lolita,802,lolita-1969,1012611-lolita,FALSE
/film/fichefilm_gen_cfilm=228.html,tt0085394,6742-lucky-luke-les-dalton-en-cavale,52166,null,null,FALSE
/film/fichefilm_gen_cfilm=229.html,tt0044863,24422-macao,26282,null,macao,FALSE
/film/fichefilm_gen_cfilm=230.html,tt0087328,87038-ghare-baire,42092,null,770673550,FALSE
/film/fichefilm_gen_cfilm=231.html,tt0056215,13195-mamma-roma,47796,null,mamma_roma,FALSE
/film/fichefilm_gen_cfilm=232.html,tt0087681,5059-marche-a-lombre,55976,null,null,FALSE
/film/fichefilm_gen_cfilm=233.html,tt0079095,3276-die-ehe-der-maria-braun,661,null,the_marriage_of_maria_braun,FALSE
/film/fichefilm_gen_cfilm=234.html,tt0087682,20784-marias-lovers,77985,null,marias_lovers,FALSE
/film/fichefilm_gen_cfilm=236.html,tt0070379,3304-mean-streets,203,mean-streets,mean_streets,FALSE
/film/fichefilm_gen_cfilm=237.html,tt0075376,10683-up,5651,null,1028294-up,FALSE
/film/fichefilm_gen_cfilm=238.html,tt0059742,5969-the-sound-of-music,15121,the-sound-of-music,sound_of_music,FALSE
/film/fichefilm_gen_cfilm=239.html,tt0057345,1595-le-mepris,266,null,contempt,FALSE
/film/fichefilm_gen_cfilm=240.html,tt0017136,7160-metropolis,19,metropolis,1013775-metropolis,FALSE
/film/fichefilm_gen_cfilm=241.html,tt0083851,9092-the-draughtsmans-contract,10831,null,draughtsmans_contract,FALSE
/film/fichefilm_gen_cfilm=242.html,tt0074749,907-the-killing-of-a-chinese-bookie,32040,null,killing_of_a_chinese_bookie,FALSE
/film/fichefilm_gen_cfilm=243.html,tt0077928,264-midnight-express,11327,midnight-express,midnight_express,FALSE
/film/fichefilm_gen_cfilm=244.html,tt0089603,33219-mishima-a-life-in-four-chapters,27064,mishima-a-life-in-four-chapters,mishima_a_life_in_four_chapters,FALSE
/film/fichefilm_gen_cfilm=245.html,tt0046085,16076-mogambo,25009,null,mogambo,FALSE
/film/fichefilm_gen_cfilm=246.html,tt0079574,3777-moonraker,698,moonraker,1014217-moonraker,FALSE
/film/fichefilm_gen_cfilm=247.html,tt0021156,22009-morocco,42641,null,morocco,FALSE
/film/fichefilm_gen_cfilm=248.html,tt0071853,342-monty-python-and-the-holy-grail,762,monty-python-and-the-holy-grail,monty_python_and_the_holy_grail,FALSE
/film/fichefilm_gen_cfilm=249.html,tt0079470,3253-life-of-brian,583,life-of-brian,null,FALSE
/film/fichefilm_gen_cfilm=251.html,tt0049531,26513-le-mystere-picasso,71822,null,the_mystery_of_picasso_2000,FALSE
/film/fichefilm_gen_cfilm=253.html,tt0082340,4774-escape-from-new-york,1103,escape-from-new-york,1006717-escape_from_new_york,FALSE
/film/fichefilm_gen_cfilm=255.html,tt0086022,3090-nostalghia,1394,null,nostalgia_1984,FALSE
/film/fichefilm_gen_cfilm=256.html,tt0089710,56428-la-nuit-porte-jarretelles,267070,null,null,FALSE
/film/fichefilm_gen_cfilm=257.html,tt0086330,51537-sogni-erotici-di-cleopatra,326088,null,null,FALSE
/film/fichefilm_gen_cfilm=259.html,tt0053143,20152-operation-petticoat,9660,null,operation_petticoat,FALSE
/film/fichefilm_gen_cfilm=260.html,tt0066921,396-a-clockwork-orange,185,a-clockwork-orange,clockwork_orange,FALSE
/film/fichefilm_gen_cfilm=261.html,tt0053146,12289-orfeu-negro,40423,black-orpheus,black_orpheus,FALSE
/film/fichefilm_gen_cfilm=263.html,tt0087884,3074-paris-texas,655,paris-texas,paris_texas,FALSE
/film/fichefilm_gen_cfilm=264.html,tt0019254,6416-la-passion-de-jeanne-darc,780,null,passion_of_joan_of_arc,FALSE
/film/fichefilm_gen_cfilm=265.html,tt0086087,26861-pauline-a-la-plage,10293,null,pauline_at_the_beach,FALSE
/film/fichefilm_gen_cfilm=266.html,tt0084481,50692-passion,32692,null,1082980-passion,FALSE
/film/fichefilm_gen_cfilm=267.html,tt0088412,35465-wo-die-grunen-ameisen-traumen,27221,null,where_the_green_ants_dream,FALSE
/film/fichefilm_gen_cfilm=270.html,tt0059592,2783-pierrot-le-fou,2786,null,pierrot-le-fou-pierrot-goes-wild-crazy-pete,FALSE
/film/fichefilm_gen_cfilm=271.html,tt0069089,14145-pink-flamingos,692,null,pink_flamingos,FALSE
/film/fichefilm_gen_cfilm=272.html,tt0084503,3073-pink-floyd-the-wall,12104,pink-floyd-the-wall,pink_floyd_the_wall,FALSE
/film/fichefilm_gen_cfilm=273.html,tt0082912,3130-pixote-a-lei-do-mais-fraco,42148,null,pixote,FALSE
/film/fichefilm_gen_cfilm=274.html,tt0082933,8745-possession,21484,possession-1983,possession_1983,FALSE
/film/fichefilm_gen_cfilm=275.html,tt0089832,22609-poulet-au-vinaigre,4898,null,cop_au_vin,FALSE
